"Gene","Importance"
"LCN6",1.62257142857143
"SOX7",1.82980952380952
"DEFB130",1.60628571428571
"LIMS3",2.6012380952381
"CCDC177",1.55761904761905
"MDGA2",1.84238095238095
"ZNF788",2.26428571428571
"MUC3A",2.48304761904762
"TMEM236",2.37409523809524
"OC90",2.30971428571429
