"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051250","negative regulation of lymphocyte activation","16/724","169/18986",0.0946745562130177,2.48272254732093,3.85503625055397,0.000762015644060752,0.0162057580540521,0.0138161022658979,"IL4I1/INHBA/RHBDD3/CDKN2A/LILRB4/FOXP3/SCRIB/LGALS9/ASCL2/LAG3/LAPTM5/VTCN1/SOX11/CTLA4/TYROBP/PLA2G2D",16
"GO:0061620","glycolytic process through glucose-6-phosphate","5/724","20/18986",0.25,6.55593922651934,4.9497700773106,0.000764876303664276,0.0162057580540521,0.0138161022658979,"PGK1/PKM/TPI1/ENO1/ENO2",5
"GO:0022617","extracellular matrix disassembly","9/724","65/18986",0.138461538461538,3.63098172545686,4.23060892838716,0.000766781393217853,0.0162057580540521,0.0138161022658979,"MMP11/MMP9/MMP1/MMP14/FSCN1/MMP7/MMP13/NOXO1/KLK4",9
"GO:0072710","response to hydroxyurea","4/724","12/18986",0.333333333333333,8.74125230202578,5.34100287420138,0.000812426107820375,0.0170156936790035,0.0145066070473342,"DDX11/TIMELESS/RAD51/BLM",4
"GO:0090267","positive regulation of mitotic cell cycle spindle assembly checkpoint","4/724","12/18986",0.333333333333333,8.74125230202578,5.34100287420138,0.000812426107820375,0.0170156936790035,0.0145066070473342,"AURKB/CDCA8/INCENP/MAD2L1",4
"GO:0045824","negative regulation of innate immune response","11/724","93/18986",0.118279569892473,3.1017346878156,4.0454731087343,0.000815605148571862,0.0170156936790035,0.0145066070473342,"AURKB/PARP1/ISG15/OAS3/SLAMF8/USP18/OAS1/NLRC5/LGALS9/HLA-B/HLA-A",11
"GO:0007143","female meiotic nuclear division","7/724","41/18986",0.170731707317073,4.47722678884247,4.43790554877364,0.00082583617507741,0.0170825091363885,0.0145635700841199,"PLK1/AURKA/NCAPH/CCNB2/TOP2A/CDC25B/TTK",7
"GO:0051438","regulation of ubiquitin-protein transferase activity","7/724","41/18986",0.170731707317073,4.47722678884247,4.43790554877364,0.00082583617507741,0.0170825091363885,0.0145635700841199,"PLK1/UBE2S/UBE2C/CDC20/TRIB3/CDKN2A/MAD2L1",7
"GO:2000573","positive regulation of DNA biosynthetic process","8/724","53/18986",0.150943396226415,3.95830292921922,4.2940913142743,0.000834663065616035,0.0171919371269472,0.0146568621290381,"CCNA2/PCNA/CCT5/CHTF18/DSCC1/VEGFA/TNF/CYP1B1",8
"GO:0009134","nucleoside diphosphate catabolic process","12/724","108/18986",0.111111111111111,2.91375076734193,3.97118097593781,0.000845723441769722,0.0173462516896313,0.0147884218976122,"GPI/PGK1/GAPDH/UCHL1/PKM/TPI1/UCP2/DDIT4/NUDT5/SLC2A6/ENO1/ENO2",12
"GO:0072523","purine-containing compound catabolic process","15/724","155/18986",0.0967741935483871,2.53778292639458,3.82758290949091,0.000878641609541671,0.0179457011091683,0.0152994781811834,"GPI/NUDT8/PGK1/GAPDH/UCHL1/ABCD1/PKM/TPI1/UCP2/DDIT4/SLC2A6/ENO1/ENO2/DNPH1/HPRT1",15
"GO:0032609","type II interferon production","13/724","124/18986",0.104838709677419,2.74926483692746,3.89110502601747,0.000907736780496958,0.0183854520416488,0.0156743846702479,"ISG15/INHBA/SLC7A5/LILRB4/FOXP3/SCRIB/LGALS9/FADD/LAPTM5/CD2/IL12RB2/TNF/HLA-A",13
"GO:0032649","regulation of type II interferon production","13/724","124/18986",0.104838709677419,2.74926483692746,3.89110502601747,0.000907736780496958,0.0183854520416488,0.0156743846702479,"ISG15/INHBA/SLC7A5/LILRB4/FOXP3/SCRIB/LGALS9/FADD/LAPTM5/CD2/IL12RB2/TNF/HLA-A",13
"GO:0048146","positive regulation of fibroblast proliferation","8/724","54/18986",0.148148148148148,3.88500102312257,4.22712429556741,0.00094762293633732,0.0190647829610862,0.0162535433510099,"E2F1/CCNB1/FN1/CCNA2/MIF/CDC6/CDK6/AGT",8
"GO:0031100","animal organ regeneration","9/724","67/18986",0.134328358208955,3.52259421126412,4.11847204210773,0.000958637851176892,0.0190647829610862,0.0162535433510099,"TYMS/AURKA/CCNA2/PCNA/SLC7A5/UCP2/TNF/EZH2/CCND1",9
"GO:0002396","MHC protein complex assembly","5/724","21/18986",0.238095238095238,6.24375164430413,4.78713585763371,0.000972652987934452,0.0190647829610862,0.0162535433510099,"CALR/HLA-DQA1/HLA-DRB5/HLA-A/HLA-DQA2",5
"GO:0002501","peptide antigen assembly with MHC protein complex","5/724","21/18986",0.238095238095238,6.24375164430413,4.78713585763371,0.000972652987934452,0.0190647829610862,0.0162535433510099,"CALR/HLA-DQA1/HLA-DRB5/HLA-A/HLA-DQA2",5
"GO:0019677","NAD catabolic process","5/724","21/18986",0.238095238095238,6.24375164430413,4.78713585763371,0.000972652987934452,0.0190647829610862,0.0162535433510099,"PGK1/PKM/TPI1/ENO1/ENO2",5
"GO:0051383","kinetochore organization","5/724","21/18986",0.238095238095238,6.24375164430413,4.78713585763371,0.000972652987934452,0.0190647829610862,0.0162535433510099,"CENPA/CENPF/SMC4/DLGAP5/CENPW",5
"GO:0072567","chemokine (C-X-C motif) ligand 2 production","5/724","21/18986",0.238095238095238,6.24375164430413,4.78713585763371,0.000972652987934452,0.0190647829610862,0.0162535433510099,"OAS3/MIF/OAS1/TNF/POSTN",5
"GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production","5/724","21/18986",0.238095238095238,6.24375164430413,4.78713585763371,0.000972652987934452,0.0190647829610862,0.0162535433510099,"OAS3/MIF/OAS1/TNF/POSTN",5
"GO:0051054","positive regulation of DNA metabolic process","23/724","295/18986",0.0779661016949153,2.04456409776196,3.60023001828693,0.000986133355356597,0.0192513824915197,0.0164126274362246,"AURKB/FOXM1/PARP1/DDX11/CCNA2/CDT1/BAX/TIMELESS/PCNA/RAD51/SLX1A/CCT5/TFRC/CHTF18/DSCC1/RAD51AP1/CDC7/VEGFA/TNF/CDC25A/MAPK15/CYP1B1/SLX1B",23
"GO:2000027","regulation of animal organ morphogenesis","10/724","81/18986",0.123456790123457,3.23750085260214,4.01807272218561,0.000996502095199508,0.0193759867390592,0.0165188578896862,"SULF1/SAPCD2/MAGED1/DKK1/SIX2/AGT/VEGFA/TNF/MESP1/HOXC11",10
"GO:0009185","ribonucleoside diphosphate metabolic process","13/724","126/18986",0.103174603174603,2.70562571253179,3.82471058190424,0.00105401976528027,0.020391693833955,0.0173847916552325,"GPI/RRM2/PGK1/GAPDH/UCHL1/PKM/TPI1/UCP2/DDIT4/NUDT5/SLC2A6/ENO1/ENO2",13
"GO:0006310","DNA recombination","26/724","352/18986",0.0738636363636364,1.93698204419889,3.53305150922742,0.00105712957131386,0.020391693833955,0.0173847916552325,"PLK1/RECQL4/MCM2/MCM4/PARP1/MCM3/UBQLN4/TONSL/MCM5/KPNA2/TOP2A/TIMELESS/RFWD3/MCM7/RAD54L/RAD51/SLX1A/FOXP3/FEN1/TFRC/MCM6/RAD51AP1/CDC7/CDC45/SLX1B/BLM",26
"GO:0006096","glycolytic process","11/724","96/18986",0.114583333333333,3.00480547882136,3.92095892429509,0.00106453399025423,0.0204533586032641,0.01743736351001,"GPI/PGK1/GAPDH/UCHL1/PKM/TPI1/UCP2/DDIT4/SLC2A6/ENO1/ENO2",11
"GO:0060623","regulation of chromosome condensation","4/724","13/18986",0.307692307692308,8.06884827879303,5.07636390867905,0.00113826295641145,0.021613657152797,0.0184265676784205,"NCAPD2/NCAPH/NCAPG2/SMC4",4
"GO:0061029","eyelid development in camera-type eye","4/724","13/18986",0.307692307692308,8.06884827879303,5.07636390867905,0.00113826295641145,0.021613657152797,0.0184265676784205,"INHBA/HDAC2/PRICKLE1/SOX11",4
"GO:0090232","positive regulation of spindle checkpoint","4/724","13/18986",0.307692307692308,8.06884827879303,5.07636390867905,0.00113826295641145,0.021613657152797,0.0184265676784205,"AURKB/CDCA8/INCENP/MAD2L1",4
"GO:0014013","regulation of gliogenesis","12/724","112/18986",0.107142857142857,2.80968823993686,3.82455767706223,0.00116698815827767,0.0220728771882793,0.0188180724109736,"SLC7A5/HDAC2/CERS2/SERPINE2/ASCL2/TREM2/CDKN2B/TNF/CXCR4/SPINT1/SOX11/EZH2",12
"GO:0042063","gliogenesis","26/724","355/18986",0.0732394366197183,1.92061318185355,3.48637177777189,0.00119406430538623,0.0224974673972189,0.0191800537344169,"SOX4/PHGDH/SLC7A5/METRN/HDAC2/CERS2/MMP14/SCRIB/CDK6/HAPLN3/SERPINE2/LRP8/ASCL2/TREM2/C1QA/CDKN2B/TNF/CXCR4/SPINT1/S100A9/SOX11/EZH2/NDRG1/ACAN/CDH2/NCAN",26
"GO:0046032","ADP catabolic process","11/724","98/18986",0.112244897959184,2.94348291802909,3.84061870947173,0.00126295367852253,0.0237035437501854,0.0202082854393139,"GPI/PGK1/GAPDH/UCHL1/PKM/TPI1/UCP2/DDIT4/SLC2A6/ENO1/ENO2",11
"GO:0009166","nucleotide catabolic process","15/724","161/18986",0.093167701863354,2.44320716516249,3.6616306653946,0.00129398532167294,0.0241925486486622,0.020625183042212,"GPI/PGK1/DCTPP1/GAPDH/UCHL1/PKM/TPI1/UCP2/DDIT4/TYMP/SLC2A6/ENO1/ENO2/DNPH1/HPRT1",15
"GO:0070482","response to oxygen levels","26/724","358/18986",0.0726256983240224,1.90451865798327,3.44014179041618,0.00134608467138238,0.0250701823279301,0.0213734033120889,"IRAK1/CCNA2/INHBA/SOX4/PLOD1/PGK1/CBS/SLC7A5/UCP2/HDAC2/DDIT4/MMP14/COL1A1/TFRC/ENO1/ASCL2/TREM2/CLDN3/VEGFA/TNF/CXCR4/PLAU/POSTN/NDRG1/CA9/EGLN3",26
"GO:0000723","telomere maintenance","15/724","162/18986",0.0925925925925926,2.42812563945161,3.63469841009581,0.00137713181894321,0.0255450148237538,0.0217782183352177,"AURKB/RECQL4/PARP1/PCNA/SMG5/CCNE1/RAD51/SLX1A/CCT5/FEN1/PPP1CA/MAPK15/CCNE2/SLX1B/BLM",15
"GO:0050869","negative regulation of B cell activation","6/724","33/18986",0.181818181818182,4.76795580110497,4.31344438662255,0.00138208987834751,0.0255450148237538,0.0217782183352177,"INHBA/CDKN2A/FOXP3/LAPTM5/CTLA4/TYROBP",6
"GO:0045861","negative regulation of proteolysis","23/724","303/18986",0.0759075907590759,1.99058220739201,3.46089915614677,0.00140631794269069,0.0257982149451167,0.0219940822743695,"CST1/MMP9/IFI6/GAPDH/CDKN2A/F8A1/SPINT2/SERPINH1/SERPINE2/PBK/EFNA1/BCL2L12/RARRES1/CTSZ/CSTB/QRICH2/VEGFA/TNF/SPINT1/PLAU/SLPI/LTF/PCSK1N",23
"GO:0002695","negative regulation of leukocyte activation","17/724","196/18986",0.086734693877551,2.27450952756793,3.57115044610242,0.00140640340680023,0.0257982149451167,0.0219940822743695,"FN1/IL4I1/INHBA/RHBDD3/CDKN2A/LILRB4/FOXP3/SCRIB/LGALS9/ASCL2/LAG3/LAPTM5/VTCN1/SOX11/CTLA4/TYROBP/PLA2G2D",17
"GO:0071674","mononuclear cell migration","19/724","231/18986",0.0822510822510823,2.15693238621415,3.52253931403994,0.00142308616093135,0.0260060970988244,0.0221713107067143,"CXCL10/F11R/SLAMF8/TRPM2/MIF/EDN2/MMP14/CALR/LGALS9/FADD/ARTN/C3AR1/ASCL2/TREM2/PADI2/TNF/CXCR4/CXCL11/CXCL17",19
"GO:0070661","leukocyte proliferation","25/724","341/18986",0.0733137829912024,1.9225628230262,3.42288540734069,0.00145007410710515,0.0264000383319781,0.0225071624666785,"BAX/IL4I1/FCGR3A/CDKN2A/MIF/LILRB4/TCIRG1/BST2/CTPS1/FOXP3/SCRIB/TFRC/LGALS9/FADD/TREM2/NMB/GSTP1/TNFSF13B/VTCN1/HPRT1/SOX11/HLA-A/CTLA4/TYROBP/PLA2G2D",25
"GO:0010972","negative regulation of G2/M transition of mitotic cell cycle","9/724","71/18986",0.126760563380282,3.32413819936192,3.90650482396144,0.00145901152400967,0.0264042113596797,0.0225107201513787,"AURKB/PLK1/DTL/PKMYT1/CHMP4C/TICRR/CDC6/ORC1/BLM",9
"GO:0060338","regulation of type I interferon-mediated signaling pathway","7/724","45/18986",0.155555555555556,4.0792510742787,4.11765845944057,0.00146116701414397,0.0264042113596797,0.0225107201513787,"ISG15/OAS3/USP18/OAS1/IKBKE/NLRC5/FADD",7
"GO:0019364","pyridine nucleotide catabolic process","11/724","100/18986",0.11,2.88461325966851,3.76229343129294,0.00149079707759131,0.0267402790828829,0.0227972322674152,"GPI/PGK1/GAPDH/UCHL1/PKM/TPI1/UCP2/DDIT4/SLC2A6/ENO1/ENO2",11
"GO:0009219","pyrimidine deoxyribonucleotide metabolic process","5/724","23/18986",0.217391304347826,5.70081671871247,4.49142475993623,0.0015099538524009,0.0267402790828829,0.0227972322674152,"DTYMK/TYMS/DCTPP1/CMPK2/TYMP",5
"GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","5/724","23/18986",0.217391304347826,5.70081671871247,4.49142475993623,0.0015099538524009,0.0267402790828829,0.0227972322674152,"TAP1/HLA-C/HLA-B/HLA-A/ULBP2",5
"GO:0051443","positive regulation of ubiquitin-protein transferase activity","5/724","23/18986",0.217391304347826,5.70081671871247,4.49142475993623,0.0015099538524009,0.0267402790828829,0.0227972322674152,"PLK1/UBE2S/UBE2C/CDC20/TRIB3",5
"GO:0170038","proteinogenic amino acid biosynthetic process","8/724","58/18986",0.137931034482759,3.61706991807963,3.97445306995208,0.00152762161068158,0.0267402790828829,0.0227972322674152,"PYCR1/CBS/PHGDH/SEPHS2/PYCR2/SHMT2/ALDH18A1/GGT1",8
"GO:0006241","CTP biosynthetic process","4/724","14/18986",0.285714285714286,7.49250197316496,4.838602714592,0.0015457762646143,0.0267402790828829,0.0227972322674152,"UCK2/NME1/CTPS1/NME2",4
"GO:0009209","pyrimidine ribonucleoside triphosphate biosynthetic process","4/724","14/18986",0.285714285714286,7.49250197316496,4.838602714592,0.0015457762646143,0.0267402790828829,0.0227972322674152,"UCK2/NME1/CTPS1/NME2",4
"GO:0009263","deoxyribonucleotide biosynthetic process","4/724","14/18986",0.285714285714286,7.49250197316496,4.838602714592,0.0015457762646143,0.0267402790828829,0.0227972322674152,"DTYMK/TYMS/RRM2/CMPK2",4
"GO:0009265","2'-deoxyribonucleotide biosynthetic process","4/724","14/18986",0.285714285714286,7.49250197316496,4.838602714592,0.0015457762646143,0.0267402790828829,0.0227972322674152,"DTYMK/TYMS/RRM2/CMPK2",4
"GO:0046385","deoxyribose phosphate biosynthetic process","4/724","14/18986",0.285714285714286,7.49250197316496,4.838602714592,0.0015457762646143,0.0267402790828829,0.0227972322674152,"DTYMK/TYMS/RRM2/CMPK2",4
"GO:0070141","response to UV-A","4/724","14/18986",0.285714285714286,7.49250197316496,4.838602714592,0.0015457762646143,0.0267402790828829,0.0227972322674152,"MMP9/MMP1/OPN3/CCND1",4
"GO:0090435","protein localization to nuclear envelope","4/724","14/18986",0.285714285714286,7.49250197316496,4.838602714592,0.0015457762646143,0.0267402790828829,0.0227972322674152,"LMNB1/PLK1/LMNB2/TMEM147",4
"GO:0001704","formation of primary germ layer","13/724","132/18986",0.0984848484848485,2.58264272559853,3.63302607389748,0.00161576548272082,0.0276724019200072,0.0235919068762261,"FN1/COL11A1/MMP9/GPI/INHBA/DKK1/MMP14/COL12A1/ITGB2/SIX2/COL5A1/COL5A2/MESP1",13
"GO:0009137","purine nucleoside diphosphate catabolic process","11/724","101/18986",0.108910891089109,2.85605273234506,3.72385633515038,0.00161673773817775,0.0276724019200072,0.0235919068762261,"GPI/PGK1/GAPDH/UCHL1/PKM/TPI1/UCP2/DDIT4/SLC2A6/ENO1/ENO2",11
"GO:0009181","purine ribonucleoside diphosphate catabolic process","11/724","101/18986",0.108910891089109,2.85605273234506,3.72385633515038,0.00161673773817775,0.0276724019200072,0.0235919068762261,"GPI/PGK1/GAPDH/UCHL1/PKM/TPI1/UCP2/DDIT4/SLC2A6/ENO1/ENO2",11
"GO:0007062","sister chromatid cohesion","8/724","59/18986",0.135593220338983,3.55576364828167,3.91476969826519,0.00170932781119319,0.0290525961196157,0.0247685814967522,"PLK1/DDX11/ESPL1/CDC20/CDCA5/FEN1/DSCC1/HORMAD1",8
"GO:0170034","L-amino acid biosynthetic process","8/724","59/18986",0.135593220338983,3.55576364828167,3.91476969826519,0.00170932781119319,0.0290525961196157,0.0247685814967522,"PYCR1/CBS/PHGDH/SEPHS2/PYCR2/SHMT2/ALDH18A1/GGT1",8
"GO:0002407","dendritic cell chemotaxis","5/724","24/18986",0.208333333333333,5.46328268876611,4.35630580397602,0.0018481225140012,0.0306611724933782,0.0261399616943514,"SLAMF8/TRPM2/CALR/LGALS9/CXCR4",5
"GO:0031145","anaphase-promoting complex-dependent catabolic process","5/724","24/18986",0.208333333333333,5.46328268876611,4.35630580397602,0.0018481225140012,0.0306611724933782,0.0261399616943514,"PLK1/UBE2S/UBE2C/CDC20/ANAPC11",5
"GO:0042659","regulation of cell fate specification","5/724","24/18986",0.208333333333333,5.46328268876611,4.35630580397602,0.0018481225140012,0.0306611724933782,0.0261399616943514,"DKK1/HDAC2/ESRP1/LMO4/MESP1",5
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","5/724","24/18986",0.208333333333333,5.46328268876611,4.35630580397602,0.0018481225140012,0.0306611724933782,0.0261399616943514,"ISG15/OAS3/USP18/OAS1/NLRC5",5
"GO:0061615","glycolytic process through fructose-6-phosphate","5/724","24/18986",0.208333333333333,5.46328268876611,4.35630580397602,0.0018481225140012,0.0306611724933782,0.0261399616943514,"PGK1/PKM/TPI1/ENO1/ENO2",5
"GO:0090266","regulation of mitotic cell cycle spindle assembly checkpoint","5/724","24/18986",0.208333333333333,5.46328268876611,4.35630580397602,0.0018481225140012,0.0306611724933782,0.0261399616943514,"CCNB1/AURKB/CDCA8/INCENP/MAD2L1",5
"GO:1903504","regulation of mitotic spindle checkpoint","5/724","24/18986",0.208333333333333,5.46328268876611,4.35630580397602,0.0018481225140012,0.0306611724933782,0.0261399616943514,"CCNB1/AURKB/CDCA8/INCENP/MAD2L1",5
"GO:2000116","regulation of cysteine-type endopeptidase activity","15/724","167/18986",0.0898203592814371,2.35542726701294,3.50297144500512,0.00186315854984617,0.0308054888122525,0.0262629975322032,"MMP9/IFI6/CDKN2A/PRR7/PSMB9/CTSD/BCL2L12/LGALS9/FADD/LAPTM5/VEGFA/TNF/S100A9/EGLN3/LTF",15
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","6/724","35/18986",0.171428571428571,4.49550118389897,4.1212392235937,0.00189875223735789,0.0311818737357996,0.0265838817869061,"IFI30/CTSD/TREM2/HLA-DQA1/HLA-DRB5/HLA-DQA2",6
"GO:0090183","regulation of kidney development","6/724","35/18986",0.171428571428571,4.49550118389897,4.1212392235937,0.00189875223735789,0.0311818737357996,0.0265838817869061,"STAT1/MAGED1/SIX2/AGT/VEGFA/EZH2",6
"GO:0002443","leukocyte mediated immunity","32/724","485/18986",0.065979381443299,1.73022725978242,3.24363310101185,0.0019444223121791,0.0317138355797016,0.0270374020241201,"IL4I1/FCGR3A/PRDX1/TRAF2/TUBB/C1QB/RSAD2/LILRB4/TCIRG1/BST2/C1QC/FOXP3/IL21R/ITGB2/TFRC/LGALS9/FADD/TREM2/LAG3/IL2RB/C8G/CD2/C1QA/HLA-C/HLA-B/TNF/HPRT1/HLA-A/TYROBP/HCST/NKG7/ULBP2",32
"GO:0006487","protein N-linked glycosylation","9/724","74/18986",0.121621621621622,3.18937583992833,3.75723073367062,0.00195724144700895,0.0317138355797016,0.0270374020241201,"GFPT1/ALG3/RPN1/KRTCAP2/MGAT4B/RPN2/SRD5A3/FUT3/DERL3",9
"GO:0009064","glutamine family amino acid metabolic process","9/724","74/18986",0.121621621621622,3.18937583992833,3.75723073367062,0.00195724144700895,0.0317138355797016,0.0270374020241201,"PYCR1/GFPT1/PHGDH/PYCR2/GMPS/UCP2/CTPS1/ALDH18A1/GGT1",9
"GO:0042130","negative regulation of T cell proliferation","9/724","74/18986",0.121621621621622,3.18937583992833,3.75723073367062,0.00195724144700895,0.0317138355797016,0.0270374020241201,"IL4I1/CDKN2A/LILRB4/FOXP3/SCRIB/LGALS9/VTCN1/CTLA4/PLA2G2D",9
"GO:0071478","cellular response to radiation","16/724","185/18986",0.0864864864864865,2.26800059728237,3.4507640285926,0.00197510720179819,0.0318969970363489,0.0271935550042997,"AURKB/PARP1/POLD1/MMP9/BAX/MMP1/OPN3/PCNA/POLH/RAD51/TSPYL5/PBK/RAD51AP1/TNF/CDC25A/BLM",16
"GO:0045859","regulation of protein kinase activity","29/724","427/18986",0.0679156908665105,1.78100456739167,3.25005447173818,0.00203397995860469,0.0321085361355905,0.0273739011392111,"PLK1/TPX2/PSRC1/TRAF2/PKMYT1/MAGED1/UCHL1/TRIB3/CDKN2A/CDKN3/MIF/LILRB4/JTB/CDC6/GPRC5A/EFNA1/KIF14/MST1R/GSTP1/CDKN2B/CIB1/AGT/TNF/CDC25A/EZH2/CCND1/CCNE2/LTF/BLM",29
"GO:0033599","regulation of mammary gland epithelial cell proliferation","4/724","15/18986",0.266666666666667,6.99300184162063,4.6232283359679,0.00204474632872053,0.0321085361355905,0.0273739011392111,"IQGAP3/BAX/PYGO2/CCND1",4
"GO:0034501","protein localization to kinetochore","4/724","15/18986",0.266666666666667,6.99300184162063,4.6232283359679,0.00204474632872053,0.0321085361355905,0.0273739011392111,"AURKB/BUB3/RCC2/TTK",4
"GO:0035860","glial cell-derived neurotrophic factor receptor signaling pathway","4/724","15/18986",0.266666666666667,6.99300184162063,4.6232283359679,0.00204474632872053,0.0321085361355905,0.0273739011392111,"SULF1/MMP14/ARTN/NRTN",4
"GO:0046007","negative regulation of activated T cell proliferation","4/724","15/18986",0.266666666666667,6.99300184162063,4.6232283359679,0.00204474632872053,0.0321085361355905,0.0273739011392111,"LILRB4/FOXP3/SCRIB/LGALS9",4
"GO:0070341","fat cell proliferation","4/724","15/18986",0.266666666666667,6.99300184162063,4.6232283359679,0.00204474632872053,0.0321085361355905,0.0273739011392111,"E2F1/TFDP1/E2F3/TREM2",4
"GO:0090235","regulation of metaphase plate congression","4/724","15/18986",0.266666666666667,6.99300184162063,4.6232283359679,0.00204474632872053,0.0321085361355905,0.0273739011392111,"AURKB/CDCA8/INCENP/SPAG5",4
"GO:1903083","protein localization to condensed chromosome","4/724","15/18986",0.266666666666667,6.99300184162063,4.6232283359679,0.00204474632872053,0.0321085361355905,0.0273739011392111,"AURKB/BUB3/RCC2/TTK",4
"GO:0046031","ADP metabolic process","11/724","104/18986",0.105769230769231,2.7736665958351,3.61131252779968,0.00204765402222445,0.0321085361355905,0.0273739011392111,"GPI/PGK1/GAPDH/UCHL1/PKM/TPI1/UCP2/DDIT4/SLC2A6/ENO1/ENO2",11
"GO:0014009","glial cell proliferation","8/724","61/18986",0.131147540983607,3.43918123358391,3.79919388938829,0.0021237664861724,0.0331949481970547,0.0283001139145735,"SOX4/SLC7A5/CERS2/ASCL2/TREM2/CDKN2B/TNF/SOX11",8
"GO:0072001","renal system development","24/724","332/18986",0.072289156626506,1.89569327031884,3.27825537132988,0.00215094459446156,0.0335119925438385,0.0285704077881078,"EPCAM/MMP9/BAX/SULF1/KIF26B/STAT1/SOX4/MAGED1/PTK7/CENPF/PYGO2/PRICKLE1/APH1A/FADD/WNT6/SIX2/AGT/VEGFA/GCNT1/PROM1/SOX11/EZH2/HOXC11/SDC1",24
"GO:0009199","ribonucleoside triphosphate metabolic process","20/724","258/18986",0.0775193798449612,2.03284937256414,3.32584156984381,0.00219236487482473,0.0340481969856965,0.029027545021641,"PARP1/GPI/PGK1/GAPDH/UCHL1/PKM/TPI1/UCK2/NME1/UCP2/DDIT4/NDUFA9/CTPS1/NUDT5/SLC2A6/ENO1/ENO2/TREM2/NDUFA11/NME2",20
"GO:0002483","antigen processing and presentation of endogenous peptide antigen","5/724","25/18986",0.2,5.24475138121547,4.22855572448012,0.00223853771663221,0.0346545600017489,0.0295444954421086,"TAP1/HLA-C/HLA-B/HLA-A/ULBP2",5
"GO:0009123","nucleoside monophosphate metabolic process","9/724","76/18986",0.118421052631579,3.10544489677232,3.66189026685061,0.00235879516623304,0.0364003279462185,0.0310328373248437,"TK1/DTYMK/TYMS/UCK2/GMPS/CMPK2/TYMP/DNPH1/HPRT1",9
"GO:0006195","purine nucleotide catabolic process","13/724","138/18986",0.0942028985507246,2.47035391144207,3.45166947980295,0.00240552195905008,0.0369572008015217,0.0315075952653431,"GPI/PGK1/GAPDH/UCHL1/PKM/TPI1/UCP2/DDIT4/SLC2A6/ENO1/ENO2/DNPH1/HPRT1",13
"GO:0046434","organophosphate catabolic process","19/724","242/18986",0.0785123966942149,2.0588900050226,3.30086534981234,0.00242203833743882,0.0369572008015217,0.0315075952653431,"GPI/NUDT8/PGK1/DCTPP1/GAPDH/UCHL1/ABCD1/PKM/TPI1/PDXP/UCP2/DDIT4/TYMP/NUDT5/SLC2A6/ENO1/ENO2/DNPH1/HPRT1",19
"GO:0032506","cytokinetic process","7/724","49/18986",0.142857142857143,3.74625098658248,3.83250818454804,0.00242529254385629,0.0369572008015217,0.0315075952653431,"AURKB/IQGAP3/KIF20A/CHMP4C/CEP55/ARF1/ANLN",7
"GO:0043029","T cell homeostasis","7/724","49/18986",0.142857142857143,3.74625098658248,3.83250818454804,0.00242529254385629,0.0369572008015217,0.0315075952653431,"BAX/CCNB2/TCIRG1/FOXP3/LGALS9/FADD/SIT1",7
"GO:0019362","pyridine nucleotide metabolic process","15/724","172/18986",0.0872093023255814,2.28695554413465,3.37588476261265,0.00248446717868908,0.0376230372448836,0.0320752493277551,"IDH2/GPI/PGK1/GAPDH/UCHL1/PKM/TPI1/UCP2/QPRT/DDIT4/SLC2A6/ENO1/ENO2/PARP10/KMO",15
"GO:0046496","nicotinamide nucleotide metabolic process","15/724","172/18986",0.0872093023255814,2.28695554413465,3.37588476261265,0.00248446717868908,0.0376230372448836,0.0320752493277551,"IDH2/GPI/PGK1/GAPDH/UCHL1/PKM/TPI1/UCP2/QPRT/DDIT4/SLC2A6/ENO1/ENO2/PARP10/KMO",15
"GO:0022409","positive regulation of cell-cell adhesion","24/724","336/18986",0.0714285714285714,1.87312549329124,3.21519489822575,0.00251335810907112,0.0377472241475833,0.0321811239768805,"F11R/IRAK1/KIF26B/IL4I1/SOX4/LILRB4/FOXP3/MYO10/ITGB2/TFRC/LGALS9/FADD/GCNT2/FUT3/TNFSF13B/TNF/VTCN1/GCNT1/HLA-DQA1/HLA-DRB5/HLA-A/CEACAM6/HLA-DQA2/SIRPG",24
"GO:0001666","response to hypoxia","23/724","317/18986",0.0725552050473186,1.90267005943148,3.22699695424511,0.00251353268363192,0.0377472241475833,0.0321811239768805,"IRAK1/CCNA2/INHBA/SOX4/PLOD1/PGK1/CBS/UCP2/DDIT4/MMP14/TFRC/ENO1/ASCL2/TREM2/CLDN3/VEGFA/TNF/CXCR4/PLAU/POSTN/NDRG1/CA9/EGLN3",23
"GO:0050777","negative regulation of immune response","17/724","207/18986",0.0821256038647343,2.1536418715136,3.32292368111004,0.00251596392178913,0.0377472241475833,0.0321811239768805,"AURKB/PARP1/ISG15/OAS3/IL4I1/SLAMF8/USP18/OAS1/LILRB4/FOXP3/NLRC5/PSMB4/LGALS9/ASCL2/TREM2/HLA-B/HLA-A",17
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","6/724","37/18986",0.162162162162162,4.25250111990443,3.9429891636851,0.00254962609850274,0.0381345614302209,0.0325113455864138,"IFI30/CTSD/TREM2/HLA-DQA1/HLA-DRB5/HLA-DQA2",6
