"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006271","DNA strand elongation involved in DNA replication","5/724","15/18986",0.333333333333333,8.74125230202578,5.9718948774633,0.000173608588322159,0.00526163084758189,0.0044857654688617,"MCM4/MCM3/MCM7/PCNA/GINS1",5
"GO:0098883","synapse pruning","5/724","15/18986",0.333333333333333,8.74125230202578,5.9718948774633,0.000173608588322159,0.00526163084758189,0.0044857654688617,"C1QB/DKK1/C1QC/TREM2/C1QA",5
"GO:0051988","regulation of attachment of spindle microtubules to kinetochore","6/724","23/18986",0.260869565217391,6.84098006245496,5.58080096387795,0.000174269196967843,0.00526163084758189,0.0044857654688617,"CCNB1/AURKB/CDCA8/INCENP/RCC2/SPAG5",6
"GO:0071900","regulation of protein serine/threonine kinase activity","23/724","262/18986",0.0877862595419847,2.30208552992282,4.22562795185024,0.00018613218044916,0.00555635544796313,0.00473703080341512,"PLK1/PSRC1/TRAF2/PKMYT1/MAGED1/UCHL1/TRIB3/CDKN2A/CDKN3/MIF/CDC6/MST1R/GSTP1/CDKN2B/CIB1/AGT/TNF/CDC25A/EZH2/CCND1/CCNE2/LTF/BLM",23
"GO:0051653","spindle localization","10/724","66/18986",0.151515151515152,3.97329650092081,4.81781407561678,0.000186765755031211,0.00555635544796313,0.00473703080341512,"NUSAP1/PLK1/CENPA/ESPL1/LLGL2/SAPCD2/ASPM/CFL1/MAD2L1/SPAG5",10
"GO:0007162","negative regulation of cell adhesion","26/724","314/18986",0.0828025477707006,2.17139388394271,4.16747277586961,0.000187459842309392,0.00555635544796313,0.00473703080341512,"EPCAM/IL4I1/CDKN2A/CLDN7/LILRB4/SPINT2/MMP14/PLXNB3/COL1A1/FOXP3/RCC2/SCRIB/SERPINE2/LGALS9/GCNT2/ASCL2/LAG3/LAPTM5/VEGFA/VTCN1/TGFBI/POSTN/MUC1/CTLA4/CYP1B1/PLA2G2D",26
"GO:0042267","natural killer cell mediated cytotoxicity","11/724","79/18986",0.139240506329114,3.65140918945381,4.70196514370161,0.000195646426472576,0.00576386229747388,0.00491393927287101,"FCGR3A/PRDX1/TUBB/LGALS9/LAG3/CD2/HLA-B/HLA-A/HCST/NKG7/ULBP2",11
"GO:0001906","cell killing","23/724","264/18986",0.0871212121212121,2.28464548802947,4.18513578907088,0.000208049996786861,0.00608637427945286,0.00518889453939646,"CXCL10/CXCL9/FCGR3A/PRDX1/GAPDH/TUBB/LGALS9/FADD/GNLY/LAG3/C8G/CD2/HLA-C/HLA-B/HPRT1/CXCL11/HLA-A/TYROBP/HCST/GZMA/NKG7/ULBP2/LTF",23
"GO:0009117","nucleotide metabolic process","36/724","500/18986",0.072,1.88811049723757,4.00710705916301,0.000209097820339154,0.00608637427945286,0.00518889453939646,"IDH2/FLAD1/DTYMK/PARP1/GPI/TYMS/RRM2/PGK1/DCTPP1/GAPDH/UCHL1/PKM/TPI1/UCK2/GMPS/NME1/UCP2/ADCY7/CMPK2/QPRT/DDIT4/TYMP/NDUFA9/CTPS1/NUDT5/SLC2A6/ENO1/ENO2/TREM2/DNPH1/PARP10/NDUFA11/PAPSS2/HPRT1/NME2/KMO",36
"GO:0032760","positive regulation of tumor necrosis factor production","13/724","108/18986",0.12037037037037,3.15656333128709,4.47503584100835,0.000237499624411095,0.00687193853727579,0.00585862168738397,"OAS3/FCGR3A/OAS2/MIF/HDAC2/OAS1/IFIH1/LGALS9/FADD/CD2/CYBA/ORM2/TYROBP",13
"GO:0009165","nucleotide biosynthetic process","21/724","233/18986",0.0901287553648069,2.36351457093401,4.16968052884127,0.000244131666398123,0.00702057714130949,0.00598534245830628,"FLAD1/DTYMK/PARP1/TYMS/RRM2/UCK2/GMPS/NME1/ADCY7/CMPK2/QPRT/NDUFA9/CTPS1/ENO1/TREM2/PARP10/NDUFA11/PAPSS2/HPRT1/NME2/KMO",21
"GO:1901292","nucleoside phosphate catabolic process","18/724","184/18986",0.0978260869565217,2.56536752342061,4.24838259806141,0.00024552522403263,0.00702057714130949,0.00598534245830628,"GPI/NUDT8/PGK1/DCTPP1/GAPDH/UCHL1/ABCD1/PKM/TPI1/UCP2/DDIT4/TYMP/NUDT5/SLC2A6/ENO1/ENO2/DNPH1/HPRT1",18
"GO:0051347","positive regulation of transferase activity","25/724","304/18986",0.0822368421052632,2.15655895609189,4.04756003003038,0.000274605622533313,0.00780618673178033,0.00665510825431613,"PLK1/TPX2/UBE2S/UBE2C/CDC20/PCNA/PSRC1/TRAF2/MAGED1/TRIB3/MIF/JTB/EFNA1/CHTF18/DSCC1/TREM2/KIF14/MST1R/CIB1/LMO4/AGT/TNF/EZH2/CCND1/LTF",25
"GO:0090231","regulation of spindle checkpoint","6/724","25/18986",0.24,6.29370165745856,5.27350377843014,0.000286461703477176,0.00809587407327065,0.00690207911009573,"CCNB1/AURKB/CDCA8/ZWINT/INCENP/MAD2L1",6
"GO:0006302","double-strand break repair","26/724","323/18986",0.0804953560371517,2.11089064878641,4.00942652085625,0.00029199139451516,0.00820445184241731,0.00699464630487488,"PLK1/RECQL4/MCM2/FOXM1/MCM4/PARP1/MCM3/DDX11/UBQLN4/TONSL/MCM5/TIMELESS/RFWD3/MCM7/CDCA5/RAD54L/RAD51/SLX1A/FEN1/MCM6/RAD51AP1/CIB1/CDC7/CDC45/SLX1B/BLM",26
"GO:0032640","tumor necrosis factor production","18/724","188/18986",0.0957446808510638,2.51078523568826,4.14501635608317,0.000319906926838049,0.00888610040777003,0.00757578087796329,"OAS3/FCGR3A/OAS2/MIF/HDAC2/OAS1/LILRB4/FOXP3/IFIH1/LGALS9/FADD/TREM2/CD2/GSTP1/CYBA/ORM2/TYROBP/LTF",18
"GO:0032680","regulation of tumor necrosis factor production","18/724","188/18986",0.0957446808510638,2.51078523568826,4.14501635608317,0.000319906926838049,0.00888610040777003,0.00757578087796329,"OAS3/FCGR3A/OAS2/MIF/HDAC2/OAS1/LILRB4/FOXP3/IFIH1/LGALS9/FADD/TREM2/CD2/GSTP1/CYBA/ORM2/TYROBP/LTF",18
"GO:0031638","zymogen activation","9/724","58/18986",0.155172413793103,4.06920365783959,4.66109285653312,0.000323703293586634,0.00894046426207174,0.00762212839025465,"PGK1/MMP14/SERPINE2/ENO1/FADD/F12/CTSZ/GGT1/PLAU",9
"GO:0009070","serine family amino acid biosynthetic process","5/724","17/18986",0.294117647058824,7.71286967825804,5.5132904568832,0.000335720676496102,0.00916819218228963,0.00781627618784834,"CBS/PHGDH/SEPHS2/SHMT2/GGT1",5
